	FSC-A	FSC-H	SSC-A	SSC-H	CD15 FITC	CD33 PE	CD19 PE-CF594	CD117 PE-CY5	CD13 PE-Cy7	HLA-DR PB	CD38 A594	CD34 APC	CD71 APC-A700	CD45 APC-H7	Time
FSC-A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FSC-H	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SSC-A	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SSC-H	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FL1	0	0	0	0	1	0.016	0.00553	0	0.002834	0.022	0.005	0	0.001	0	0
FL2	0	0	0	0	0.13	1	0.07	0.008	0.013	0	0.006	0.00001	0.00278	0.00063	0
FL3	0	0	0	0	0.049	0.42	1	0.009265	0.00615	0.00138	0.075	0.00001	0.000533	0.00082	0
FL4	0	0	0	0	0.009	0.074	0.311	1	0.005	0.000898	0.0331	0.01	0.01	0.001	0
FL5	0	0	0	0	0.005	0.02	0.0744	0.25	1	0.000552	0.004	0.00666	0.01	0.015	0
FL6	0	0	0	0	0.0005004	0	0.00006	0	0.00001	1	0.00001	0	0	0	0
FL7	0	0	0	0	0	0.016	0.2523	0.00010295	0.00011	0	1	0.01	0.001	0	0
FL8	0	0	0	0	0.0001	0	0.000026	0.37	0.002	0.000048	0.007	1	0.04	0.006	0
FL9	0	0	0	0	0	0	0.000052	0.26	0.003	0.000055	0.002	0.64	1	0.03	0
FL10	0	0	0	0	0.0007	0	0.000195	0.0406	0.0325	0.000076	0.00832	0.17	0.35	1	0
Time	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
