	FSC-A	FSC-H	SSC-A	SSC-H	CD15 FITC	CD33 PE	CD19 PE-CF594	CD117 PE-Cy5	CD13 PE-Cy7	HLA-DR PB	CD38 A594	CD34 APC	CD71 APC-A700	CD45 APC-H7	Time
FSC-A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FSC-H	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SSC-A	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SSC-H	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FL1	0	0	0	0	1	0.014	0.005	0	0	0.0006	0.004	0	0.001	0	0
FL2	0	0	0	0	0.11	1	0.075	0.016	0.012	0	0.003	0	0.001	0	0
FL3	0	0	0	0	0.0379	0.435	1	0.005	0.001	0	0.064	0.001452	0.001	0.0008	0
FL4	0	0	0	0	0.007	0.086	0.28	1	0.001	0.0001	0.031	0.01	0.01	0	0
FL5	0	0	0	0	0.00001	0.018	0.0755	0.23	1	0	0.005	0	0.018	0.015	0
FL6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
FL7	0	0	0	0	0.00005	0.016	0.28	0	0.0005	0	1	0.005	0.001	0	0
FL8	0	0	0	0	0.00005	0	0	0.37	0	0	0.008	1	0.05	0.0065	0
FL9	0	0	0	0	0	0	0.00127	0.16	0.004	0	0.003	0.65	1	0.051	0
FL10	0	0	0	0	0.00017	0	0.0005	0.06	0.07	0	0	0.2	0.39	1	0
Time	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
