	FSC-A	FSC-H	SSC-A	SSC-H	CD64 FITC	CD123 PE	CD4 PE-TR	CD14 PE-Cy55	CD13 PE-Cy7	HLA-DR PB	CD38 A594	CD34 APC	CD16 APC-A700	CD45 APC-H7	Time
FSC-A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FSC-H	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SSC-A	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SSC-H	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FL1	0	0	0	0	1	0.014	0.007	0.0016	0	0.0006	0.004	0	0	0	0
FL2	0	0	0	0	0.11	1	0.11	0.027	0.012	0	0.003	0	0	0	0
FL3	0	0	0	0	0.0379	0.435	1	0.006	0.001	0	0.064	0.001452	0	0.0008	0
FL4	0	0	0	0	0.007	0.086	0.24	1	0.001	0.0001	0.031	0.01	0.003	0	0
FL5	0	0	0	0	0.00001	0.018	0.07	0.451	1	0	0.005	0	0.0001	0.015	0
FL6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
FL7	0	0	0	0	0.00005	0.016	0.19	0	0.0005	0	1	0.005	0	0	0
FL8	0	0	0	0	0.00005	0	0.001	0.027	0	0	0.008	1	0.052	0.0065	0
FL9	0	0	0	0	0	0	0.001	0.21	0.004	0	0.003	0.65	1	0.051	0
FL10	0	0	0	0	0.00017	0	0.0001	0.0288	0.07	0	0	0.2	0.39	1	0
Time	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
