	FSC-A	FSC-H	SSC-A	SSC-H	CD56 A488	CD7 PE	PE-TR	CD5 PE-Cy5	CD33 PE-Cy7	PB	CD38 A594	CD34 APC	APC-A700	CD45 APC-H7	Time
FSC-A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FSC-H	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SSC-A	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SSC-H	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FL1	0	0	0	0	1	0.016	0	0.0018	0.004	0	0.005	0	0	0	0
FL2	0	0	0	0	0.13	1	0	0.01	0.016	0	0.006	0.00001	0	0.00063	0
FL3	0	0	0	0	0.049	0.42	1	0.004	0.0033	0	0.075	0.00001	0	0.00082	0
FL4	0	0	0	0	0.009	0.074	0	1	0.0013	0	0.0331	0.01	0	0.001	0
FL5	0	0	0	0	0.005	0.02	0	0.22	1	0	0.004	0.00666	0	0.015	0
FL6	0	0	0	0	0.0005004	0	0	0	0	1	0.00001	0	0	0	0
FL7	0	0	0	0	0	0.016	0	0.0001	0	0	1	0.01	0	0	0
FL8	0	0	0	0	0.0001	0	0	0.48	0	0	0.007	1	0	0.006	0
FL9	0	0	0	0	0	0	0	0.2	0.00172	0	0.002	0.64	1	0.03	0
FL10	0	0	0	0	0.0007	0	0	0.35	0.05	0	0.00832	0.17	0	1	0
Time	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
