	FSC-A	FSC-H	SSC-A	SSC-H	CD235a FITC	CD81 FITC	CDSSEA-4 FITC	CD227 FITC	CD98 FITC	CD321 FITC	FITC-H	CD59 PE	Calre PE	CD108 PE	CD164 PE	CD220 PE	CD317 PE	PE-H	CD45 ECD	CD117 PerCP-Cy55	CD13 PE-Cy7	CD105 BV421	CD47 BV421	CD95 PB	CD58 BV421	CD36 V450	CD63 V450	PB-H	CD34 APC	A700-H	CD71 APC-H7	CD38 A594	CD44 BV510	CD49d BV510	CD29 BV510	CD147 BV510	CD238 BV510	AmCyan-H	Time
FSC-A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FSC-H	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSC-A	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSC-H	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FITC	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0298	0.0298	0.0298	0.0298	0.0298	0.0298	0
PE	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PE-TR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.009	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0
PE-Cy5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2268	1	0.0047	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0
PE-Cy7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0856	0.59	1	0	0	0	0	0	0	0	0	0	0.03254	0	0	0	0	0	0	0	0
PacBlue	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0.25	0
APC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03224	0	0	0	0	0	0	0	0	1	0	0.008	0.004	0	0	0	0	0	0	0
APC-A700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
APC-H7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.071	0.0509	0	0	0	0	0	0	0	0.317	0	1	0	0	0	0	0	0	0	0
A594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32	0	0.002	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Am-Cyan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0
Time	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
